id,word,words,letter,pos_en,pos_ms,morph,definition_en,definition_ms,example_semai,example_en,example_ms
g2ca778fd-e463-44fd-bbbc-3a1b560cb9dc,getau,getau,g,,kata nama,,dandruff,kelumumur,Hot gep kui hik ru limau baruleh tok begetau.,We ought to wash our heads with lime so we don't get dandruff.,Harus mencuci kepala kita dengan limau barulah tidak berkelumumur.
g63bd84c7-30f3-48f5-87ea-9d82af5cc60b,,,g,,,,,,,,
g343dd888-4b21-4bd0-bd12-6e015212a647,getek,getek / 1,g,,kata kerja,,to hate,membenci; tidak suka akan sesuatu atau seseorang ,Amen hiui jahat mai pen bigetek.,"If we do evil, people will hate us.","Jika kita membuat jahat, orang akan membenci kita."
g34e3b8eb-1705-4331-8348-bac601959910,getek,getek / 2,g,,kata nama,,skin,kulit,"Hik hod hingut teu de cukop, baruleh getek hik sehat.","We should drink sufficient water, then our skin will be healthy.","Kita harus meminum air yang mencukupi, barulah kulit kita sihat."
ga5d35bee-03c9-4502-92cd-5cb76a3e9f67,getoh,getoh,g,,kata kerja,,to spit,meludah,Agok getoh merate-rate.,Don't spit all over the place.,Jangan meludah merata-rata.
ge3643102-1f6a-47bf-b370-562da5b52e9a,geu,geu,g,,kata sifat,,loose,longgar,Taya meskar Bah Yan kitateg medei mong iskru de geu.,Bah Yan's bicycle tire came off as there was a loose screw.,Tayar basikal Bah Yan tertanggal kerana terdapat skrunya yang longgar.
g0c616bf1-ac70-4dba-ba03-38b1fc95e483,geulang,geulang,g,,kata nama,,Semai traditional festival to celebrate the new year or the harvest,perayaan tradisi Orang Semai bagi menyambut tahun baru atau musim menuai,"""Ku tahut depan, kampug jik doh pek bibeh arik genulang,"" Bah Jamil kipasal nu ikekawat.","""Next year, our village will not celebrate the new year,"" Bah Jamil told his friends.","""Pada tahun hadapan, kampung kami tidak akan membuat sambutan tahun baharu,"" Bah Jamil memberitahu kepada rakan-rakannya."
g5743991e-2ae2-4a8a-923b-bf6ac58064c3,gid,gid,g,,kata kerja,,to wipe,"mengelap; mengeringkan atau membersihkan sesuatu yang basah atau kotor (lap lantai, lap meja, lap muka dsb); kesat; mengesat; memadam",Bah Asril tengah kigit res.,Bah Asril is wiping the floor.,Bah Asril sedang mengelap lantai.
g6626aa36-53b0-462f-a0dc-952c3a78bf0d,,,g,,,,,,,,
g38f60f80-4272-48ad-a540-f1198b926ed8,gij,gij / 1,g,,kata sifat,,fast; quickly,cepat; pantas; lekas,Amen hod gij nu sekulah belajar kus awal.,"If you want to get to school quickly, learn to get up early.",Jika mahu cepat ke sekolah belajarlah bangun awal.
g9201aab2-1457-4356-ad42-61802640335c,gij,gij / 2,g,,kata nama,,cavity; decayed tooth,gigi rosak,"Amek jop eng mong igij, kirasa pehod bile kicacak.","My grandmother has a decayed tooth, she feels pain every time she eats.","Gigi nenek saya rosak, dia merasa sakit apabila makan."
g7c08bb02-8527-4ba7-8eb7-1fb58a546862,gik,gik,g,,kata kerja,,to cut down a tree,menebang; memotong pokok,Jehuk legos ajeh bigik pegelap neh.,The rambutan tree was cut down this morning.,Pokok rambutan itu ditebang pada pagi tadi.
gff193b32-b043-49db-8be0-22270e08cbef,gila,gila,g,,kata sifat,,crazy; insane,gila; tidak siuman; tiga suku (ungkapan); tidak waras akal fikiran,Mai gila jooi bideg ku Hospitel Bahagia Tanjung Rambutan ku Ipoh.,Most insane people are admitted to the mental hospital in Tanjung Rambutan at Ipoh.,Kebanyakan orang gila diletakkan di Hospital Bahagia Tanjung Rambutan di Ipoh.
g1722e377-1803-433e-8c7d-ad78835f372e,gileg,gileg,g,,kata kerja,,to grind,menggiling,,,
g09631036-4edf-45f5-8916-3944bad9f0b7,,,g,,,,,,,,
gc7535453-11c1-4359-9ea9-637ad8ffb1e7,giwej,giwej,g,,kata kerja,,to wave hand,melambai tangan,Mase jijug ju sekulah cikgu kigawej iteg nu jik.,When we went home from school the teacher waved to us.,Semasa kami pulang dari sekolah cikgu melambai tangannya kepada kami.
g6477da6b-c370-4302-b47f-f29ddef80c11,godaan,godaan,g,,kata nama,,temptaion,godaan,,,
gebbb3dda-976a-4077-b628-e83c5e38d3b0,gofir,gofir,g,,kata nama,,"gopher, a type of wood used to build Noah's ark","gofir, sejenis kayu yang digunakan untuk membina bahtera Nuh",,,
g9fd157a8-2a25-4aa8-b85b-63f717787e1a,gog,gog,g,,kata kerja,,to carry something in the mouth (by dogs),menggonggong (oleh anjing); membawa sesuatu dengan mulut,Wak Ana kiwig telas kineng icok kigog relai.,Wak Ana screamed when she saw her dog carrying a python in its mouth.,Wak Ana menjerit apabila melihat anjingnya menggonggong ular sawa.
g3abedc2c-7297-477e-b032-7b7bf7ecd279,goj,goj,g,,kata kerja,,to cut; to slice (meat),memotong; mengerat; mengelar (daging),Bah Amin kitulog iamek goj sej medei iamek kaha-beh rendang.,Bah Amin is helping his mother to cut the meat because his mother is about to cook stew.,Bah Amin membantu ibunya memotong daging kerana ibunya mahu memasak rendang.
gdfcac5b9-dd86-4f80-9873-3c9da5bfbf0a,gok,gok,g,,kata kerja,,to knock,mengetuk,"""Mong mai bigok pintu, cip neng bok imai,"" Bah Asin kiurok nu ikenon litau.","""There is someone at the door, knocking. Go and see who it is?"" Bah Asin said to his son.","""Ada orang yang mengetuk pintu, pergi lihat siapa itu,"" Bah Asin berkata kepada anak lelakinya. "
ga4bacbd8-23ee-4931-8437-6fec1b14cfe9,gol,gol,g,,kata kerja,,to carry on the shoulder,pikul; memikul; membawa sesuatu di atas bahu ,Tenek eng kigol betar ku igelpal.,My brother carries stinky beans on his shoulder.,Abang saya pikul petai di bahunya.
gd73adaab-39e1-4c74-a777-18ccd79f34f9,gop,gop,g,,kata nama,,malay; a Malay person,melayu; orang Melayu,Gensir Wak Ana ajeh Gop Kelantan.,Wak Ana's husband is a Malay guy from Kelantan.,Suami Wak Ana adalah orang Melayu dari Kelantan.
g02fb8b7b-27fc-4b8d-96f5-9e59ec485da4,goreng,goreng,g,,kata kerja,,to fry,menggoreng; memasak dengan minyak (tanpa kuah) di dalam kuali kering,Wak Ami kigoreng kengyeg pog.,Wak Ami is frying the chicken wings.,Wak Ami menggoreng kepak ayam.
g8fd914c3-6e88-4886-ba60-67f734e6d5a9,gos,gos / 1,g,,kata nama,,ringworm,kurap,Bah Kamis mong jeoi gos ku icelod.,Bah Kamis has a lot of ringworm on his back.,Terdapat banyak kurap pada belakang badan Bah Kamis.
ga172281f-79f7-4e7a-8425-fd3fbc8bfd1e,gos,gos / 2,g,,kata nama,,rice crust; hard rice cooked at the bottom or side of the rice pot,kerak nasi,Kipasal ya mai raknak engrak amen hik cak gos canak hek jadi segat.,The old people say that if you eat the rice crust you will become a lazy person.,Kata orang tua jika kita makan kerak nasi kita jadi seorang pemalas.
ge229ad4c-5837-48e8-bf17-c29c00422a8e,gu,gu,g,,kata nama,,people group; clan,kaum; kumpulan,Hik hod hijaga adat gu lihik.,We should protect our own group's customs.,Kita harus menjaga adat kaum kita sendiri.
ga6c11b4c-f080-4c3a-b0b0-370f065093c9,gu-,gu-,g,:Any,ks,awl,more; all the more; to become or get plus adjective,semakin,"Apak eng ya guengrak, iumur ya 71 tahut.","My dad is getting older, he is already 71 years old.","Bapa saya sudah semakin tua, umurnya sudah 71 tahun."
ga596237b-31b2-4fc4-b8a0-863d2758d7f7,gubal,gubal,g,,kata kerja,,to peel; to husk,"mengupas; menanggalkan atau membuang kulit sesuatu benda (buah kelapa, bawang, dll)","Mase jis sukaneka ku sekulah, mong pertandingan gubal jeer.","During the sport day at the school, they held a contest to husk coconuts.","Semasa hari sukaneka di sekolah, terdapat pertandingan mengupas kelapa."
g6c71f0d6-c057-44ca-b443-13bf16f412dc,guer,guer,g,,kata sifat,,pitch dark,gelap-gelita,"Ku pukol 4 pegelap, mase iarik lekat guer, Wak Ngah kihol kimutong kihalei.","At 4 in the morning, when it is still pitch dark, Wak Ngah goes out alone to tap rubber.","Pada jam 4 pagi, ketika keadaan masih gelap, Wak Ngah keluar memotong getah seorang diri."
ga6dc65c3-989b-4682-a85c-31c2a59eb7ac,gul,gul,g,,kata nama,,mortar,lesung,"Jik mai sengoi, jiseh bak ku gul de bibeh ju keneng jehuk de entoi.","We, the aboriginal people, pound rice in a mortar made from a large log.",Kami Orang Asli menumbuk padi dalam lesung yang diperbuat dari batang kayu besar.
gfcb1a0bf-12f5-4d01-a7d0-67fffb5154ef,gul batu,gul batu,g,,kata nama,,pestel and mortar,lesung batu,Wak Amah kiguna gul batu kiseh ha lada.,Wak Amah is using the pestle and mortar to pound the bird's eye chillis.,Wak Amah menggunakan lesung batu untuk menumbuk cili.
gb17c31b4-e66e-492f-82e0-d637458cad9b,gula,gula,g,,kata nama,,sugar,gula,,,
g9be0dbb6-f206-46e0-b95e-273db7bf7901,gulap,gulap,g,,kata kerja,,to carry a load on the shoulder,pikul,Bah Wan kigulap dendog nu imadeg.,Bah Wan carried the log on his shoulder to his house.,Bah Wan memikul balak ke rumahnya.
g23dcd1c4-325b-4151-a4ff-d5922ea0fd4c,gulei,gulei,g,,kata nama,,dish,gulai; lauk-pauk,Arik adeh Wak Jana kimasak gulei labu ha entek caknak tengah arik.,Wak Jana is making a pumpkin dish as a side-dish for lunch today.,Hari ini Wak Jana memasak gulai labu sebagai lauk bagi makan tengah hari.
gd860883d-f5ca-4daa-8ee1-bb4642e6d139,guleng,guleng,g,,kata kerja,,to roll,golek; guling,Kekenon Bah Amat naibeguleng ku kemil tilam.,Bah Amat's children are rolling on the mattress.,Anak-anak Bah Amat berguling-guling di atas tilam.
gc8cbaf7a-325c-4b7b-b39a-85cd5c2e828c,guli,guli,g,,kata nama,,marble,guli,"""Jok himain congkak, iguli ya mong adeh,"" Wak Sita kiajak ha Wak Rika.","""Let's us play congkak, I have the marbles,"" Wak Sita invited Wak Rika.","""Mari kita bermain congkak, gulinya sudah ada,"" Wak Sita mengajak Wak Rika."
gc7cade0d-eac0-42a8-a37d-4dbf675a5efa,,,g,,,,,,,,
g4503f302-60fa-4df4-9d1d-d8a1f1942d30,gulong,gulong,g,,kata kerja,,to roll,gulung,"""Gulong ceruk ajeh telas engkecakcak,"" Wak Ngah kibesat nu icecenok.","""Roll back the mat after you have finished eating,"" Wak Ngah reminded her grandchildren.","""Gulung tikar itu nanti selepas kamus makan,"" Wak Ngah berpesan kepada cucu-cucunya."
gfa26acb1-97d9-4624-a1d9-0f61bfa15650,gumul,gumul,g,,kata kerja,,to wrestle,"bergusti, bergelut, bergomol",,,
gd3d34747-28e7-4338-bdf2-a2340c81c1e9,guna,guna,g,,,,to use,guna,"Bah Amran kitanya nu icekgu, ""Cekgu, bulehka ngguna bob rujukan amen eng kedei bahbeh kerjak sekulah?""","Bah Amran asked to his teacher,""Teacher, can I use the reference book if I don't know how to do my homework?""","Bah Amran bertanya kepada gurunya, ""Cikgu, bolehkah saya mengguna buku rujukan jika saya tidak tahu membuat kerja sekolah?"""
gd3d34747-28e7-4338-bdf2-a2340c81c1e9,guna,guna,g,,,,role; function,peranan; fungsi; kegunaan,"""Kok adeh iguna ha bahno cengroi, agok guna ha bende kilek,"" Wak Bibah kiurok nu ikenon menaleh.","""The function of this can is to scoop the rice, so please don't use it for anything else,"" Wak Bibah said to her daughter.","""Tin ini kegunaannya adalah untuk mencebok beras, jangan gunakannya untuk hal yang lain,"" Wak Bibah berkata kepada anak gadisnya."
ga44d5908-5304-4759-8413-df0bff423124,guni,guni,g,,kata nama,,sack,guni; karung untuk mengisi sesuatu benda,"Kot guni ajeh, eng ngha-isi sampah.","Take that sack, I want to put garbage in it.","Ambil guni itu, saya mahu mengisi sampah."
g6e286c1e-8bf7-48e6-a81f-e902d3b392b9,gunig,gunig,g,,kata nama,,ghost; spirit; the soul or spirit of a deceased person or an animal,roh; semangat; roh atau semangat orang yang sudah meninggal dunia atau haiwan,"Mai naiurok, Bah Litaw ajeh mong kidek gunig mergas.",People said that Bah Litaw defended a tiger spirit.,Orang berkata bahawa Bah Litaw ada membela roh harimau.
g5b908638-c13d-4f73-88e1-d08a252a7dd2,gunjak,gunjak,g,,kata kerja,,to joke,bergurau,,,
g1816ca5c-3da9-41e3-81ac-0857fed11d6f,guntig,guntig,g,,kata nama,,to cut (with scissors),menggunting,Apak eng kiguntik sog menang eng.,My father is cutting my brother's hair.,Bapa saya menggunting rambut adik saya.
ge6fb4cca-517d-4352-8193-ff86c937002a,gures,gures,g,,kata nama,,match,mancis,"""Og gures hek, eng ngha-tod sampah,"" Wak Kila kisemanj nu igengsir.","""Let me borrow your matches, I want to burn the garbage,"" Wak Kila asked her husband.","""Bagi mancis kamu, saya mahu membakar sampah,"" Wak Kila meminta kepada suaminya."
g54575457-7ed0-4fd7-84a8-22a8defcd3b8,gusok,gusok,g,,kata kerja,,to rub,gosok,Wak Cici kigusok minyak angin ku ikui medei ha kiluig.,Wak Cici is rubbing the ointment on her head as she feel dizzy.,Wak Cici menggosok minyak angin di kepalanya kerana merasa pening kepala.
g97ae58c8-85ef-4287-b72e-adcf1ba3b020,ha,ha,h,,kata sendi nama,,for,untuk,"Wak Melah kiurok nu eng, ""Pelek jeer adeh ha hek.""","Wak Melah said to me, ""These coconuts are for you.""","Wak Melah berkata kepada saya, ""Buah kelapa ini untuk kamu."""
g0690f878-b8a6-4156-8bf8-3b5018d65694,ha-,ha- / 1,h,:Any,kk,awl,you; 2nd person singular agreement marker for verb,awak; anda; kamu; imbuhan ganti nama diri kedua tunggal untuk kata kerja,Hek ya hapanei muh eng.,You already know my name.,Kamu sudah tahu nama saya.
gf3f3d691-7b00-446d-991d-cd599da978b3,ha-,ha- / 2,h,:Any,kk,awl,to want,mahu,"Amek kiurok nu wak eng, ""Entah hahod tarog adeh, kotle.""","My mother said to my auntie, ""If you want this tapioca shoot, (just) take it.""","Ibu berkata kepada makcik saya, ""Jika kamu mahu pucuk ubi ini, ambillah."""
ga0c3d027-ef8b-4b7a-a2b9-108f2b0b185f,haah,haah,h,,kata sifat,,yes,ya,"""Mongka hek neh hakep kak?"" bitanya ya Wak Risan. ""Haah, mong nek memerip ikor taleh,"" engrok Wah Ika.","""Did you catch any fish?""  Wak Risan asked. ""Yes, only a few,"" Wak Ika replied.","""Kamu ada dapat ikan?"" Wak Risan bertanya. ""Ya, hanya ada beberapa ekor saja,"" Wak Ika menjawab."
ge302a8e2-a2d4-4bbb-853c-484cd3a05671,habar,habar,h,,kata nama,,news,khabar,Ma ihabar engkek nek?,How are you all doing?,Kamu semua apa khabar?
g103fb8e8-4366-4fa5-ad60-b9718ad50497,habu,habu,h,,kata nama,,ashes,abu; debu; debu; sisa sesuatu objek atau lain-lain benda yang habis terbakar,Cok ajeh kigemar dak ku kemil habuk.,That dog likes to sleep on the ashes.,Anjing itu suka tidur atas abu.
g2c35428c-10b8-4bb7-bdea-e6835a2eeba8,had,had,h,,kata keterangan,,just; only; in a limit,hanya; cuma; sekadar; setakat,"Apak eng pek dij isekulah, kisekulah had lei derjah 5 taleh. Tapi ha kerana rajet kikerakjak, ilei bihok ya itukeh. Jap tahut igaji biperhuj ru selalo biog bonus.","My father did not finish school, he only went to school until grade 5. But because he was hard-working, he was loved by his boss. His salary is increased every year and he always earns bonuses.","Bapa saya tidak tamat persekolahan, dia bersekolah cuma sehingga darjah 5. Tetapi oleh kerana dia rajin bekerja, dia disayangi oleh bosnya. Setiap tahun gajinya dinaikan dan selalu memerolehi bonus."
g2c35428c-10b8-4bb7-bdea-e6835a2eeba8,had,had,h,,kata keterangan,,very,sangat; amat,Kenon eng ihad kisengoh ha chok medei ilei pernah bikap mase lekat kisanget.,My son is very scared of dogs because he was bitten when he was young.,Anak saya sangat takut terhadap anjing kerana dia pernah digigit semasa beliau masih kecil.
gaed2ea80-318e-45d7-94aa-8f8a864f24a6,hadang,hadang,h,,kata kerja,,to block,menghalang; menahan supaya tidak dapat bergerak,"Bah Peran kibesat nu eng, ""Nong nu Cameron Highland ya bihadang, biget joi ku arik adeh medei mong garaj. Kelemnek manik lebat lei mong jeoi garaj ku nong ajeh.""","Bah Peran gave advice to me, ""the road to Cameron Highlands has been blocked, that road cannot be used because there has been a landslide. Last night it rained heavily and lots of earth slid onto that road.""","Bah Peran berpesan kepada saya, ""Jalan itu ke Cameron Highland dihalang, tidak dibenarkan mengikuti jalan tersebut kerana terdapat tanah runtuh. Malan tadi hujan lebat sehingga ada banyak (kejadian) tanah runtuh di (sepanjang) jalan tersebut."""
g6f26b006-7e6f-465e-b8e8-1cd332a91a88,hadap,hadap,h,,kata kerja,,to be facing; to be face-to-face,hadap; berdepan,"Mase ubai bitermuk, Wak Ani ru Bah Meran ubai gei behadap sebegei tanda ubai ajeh kenah-gensir.","When they got married, Wak Ani and Bah Meran sat face-to-face as a sign that they were husband and wife.","Semasa mereka dijodohkan, Wak Ani dan Bah Meran mereka berdua duduk menghadap (satu dengan yang lain) sebagai tanda mereka berdua itu suami-isteri."
g26178818-177c-499a-98e3-bae6baa6fead,hag,hag,h,,kata sifat,,healed; to heal up,sembuh,"Amek kitanya nu tenek eng, ""Ya hagka temak kenon hek?""","Mother asked my sister, ""has your son's scabies healed?""","Ibu bertanya pada kakak saya, ""Sudah sembuhkah kudis (pada) anak kamu?"""
g9ba1d02a-b5d5-46db-a6df-59eb33d82b15,hai,hai,h,,kata kerja,,to scream; to shout; to snarl; to scold,menjerit; menengking,"Apak eng kiurok nu bah eng, ""Agok panhai, mabek sanget doh naisengoh.""","My father said to my uncle, ""Don't shout too loud! The kids will be scared.""","Bapa saya berkata kepada pakcik saya, ""Jangan terlampau menengking, nanti kanak-kanak menjadi takut."""
g4248fe32-ab08-4212-a0be-7da4dff5f9a9,hajap,hajap,h,,kata kerja,,to be extremely poor; to be destitute,miskin; daif; papa kedana,"Bah Mat ajeh, hamapen kihajap tapi pek pernah kisengmanj nu mai.","Even though Bah Mat is poor, he has never begged from other people.","Walaupun Bah Mat miskin, tetapi dia tidak pernah meminta-minta kepada orang lain."
gc0bda505-7d96-4712-a90f-0b8d3a211034,hakem,hakem,h,,kata nama,,judge,hakim,,,
g09b6e983-41e5-4ac7-976d-fd29fac3ab7a,,,h,,,,,,,,
g9459ebba-3541-497c-ba18-ba9748fded91,,,h,,,,,,,,
g3fe706e7-6449-41fb-a638-b8a271b9e561,hal,hal,h,,kata nama,,"affair, matter",hal; sesuatu yang terjadi; peristiwa atau kejadian,"""Ma-ma hal doh pasalle nu eng,"" tuan deg ajeh kiurok nu eng.","""If there is any issue, just let me know,"" the landlord said to me.","""Apa-apa hal nanti bagitahu saya,"" tuan rumah itu berkata kepada saya."
gac3b4dc3-d9a1-4bb0-90fe-7d4730de5544,halak,halak / 1,h,,kata nama,,witch doctor; shaman,bomoh; dukun; pawang,"Ku jaman entem, amen mai nainyaknyik, enai naiet nu halak dea biterbor. Tapi hunen, ya kurang mai naituju nu halak medei ya mong hospitel.","In old days, when people got sick, they went to a shaman to be healed. But now, there are few who go to see a shaman, because there is a hospital already.","Pada zaman dahulu, jika orang merasa sakit, mereka akan pergi (berjumpa) bomoh supaya disembuhkan. Tetapi sekarang, sudah kurang orang berjumpa bomoh kerana sudah ada hospital."
gdd28641e-dc78-4194-ac76-6a9d62dd032c,halak,halak / 2,h,,kata seru,,terms for a man to address his brother-in-law,panggilan hormat oleh seorang lelaki kepada adik ipar lelaki dan abang iparnya,,,
geb35aa72-fb1a-4f2a-acee-08abfe5db228,halau,halau,h,,kata kerja,,to shoo; to chase or drive away,halau; usir,"Amek eng kihalau cok, kinyek doh kidak ku simen.","My mother shooed the dog away, because she didn't want it to sleep on the cement floor of the house.","Ibu saya menghalau anjing, (kerana) dia tidak mahu (anjing tersebut) tidur di (lantai) simen (rumah)."
gddb92e71-df7b-4b23-92d0-947fab4e1d6b,halei,halei,h,,kata keterangan,,alone; oneself; by oneself,seorang diri; berseorangan; keseorangan,Eng nggei nghalei ku padeg.,I live by myself at home.,Saya tinggal seorang diri di rumah.
gd5ff6545-d682-45c0-bf26-d9f272ec31a8,halek,halek,h,,kata sifat,,why not; no matter,tidak mengapa,"""Halek, pek ma. Buleh ngbeh ya lieng.""","""Never mind, I can do it myself.""","""Tidak mengapa, saya boleh buat sendiri."""
gaa4401d8-8e3d-4f0d-ba12-a0cb0f860c67,ham,ham,h,,kata kerja,,"to pick or pluck; to harvest (vegetables, leaf shoots, etc.)","memetik (sayur-sayuran, pucuk-pucuk daun dsb.)","""Bulehka eng ngham lada ku selai hek? Lada ku selai eng ya dij,"" Wak Ros kisemanj ku amek eng.","""Can I pick the peppers that are in your garden? The peppers in my garden are already gone,"" Wak Ros asked my mother.","""Bolehkah saya memetik cili yang ada di kebun kamu? Cili di kebun saya sudah habis,"" Wak Ros meminta kepada ibu saya."
gaa4401d8-8e3d-4f0d-ba12-a0cb0f860c67,ham,ham,h,,kata kerja,,to take; to get; to fetch,ambil,"""Bei tulog amek ham teu,"" amek kiurok nu jik.","""Come and help me fetch water,"" mother said to us.","""Mari tolong ibu mengambil air,"" ibu berkata kepada kami."
g62696df2-69a3-4273-ab07-b05ee05bd93a,hama,hama,h,,kata tanya,,why,kenapa; mengapa; untuk menanyakan sebab untuk seseuatu perkara atau hal,"""Hama hek jap?"" tenek eng kitanya.","""Why are you crying?"" my older brother asked.","""Kenapa kamu menangis?"" abang saya bertanya."
gd4c04bf8-e021-4cf9-b9ed-441a28bdc4f6,hamapen,hamapen,h,,kata hubung,,even though; although,walaupun; meskipun,"Hamapen ilei kinyik, tapi Wak Selai lekat kaha-kerakjak juga.","Even though she is feeling feverish, Wak Selai still wants to work.","Walaupun dia demam, tetapi Wak Selai masih mahu bekerja."
g20915926-6528-4f13-9c2f-abdcbe1d9eac,hambe,hambe,h,,kata nama,,slave,hamba,,,
gf112ec9d-5903-4e82-940c-e6ddccd77466,,,h,,,,,,,,
gf6b9efcd-7678-4e83-9e6b-82ab9f91eaf1,han,han,h,,kata nama,,"title for Semai women, especially in the southern part of the state of Perak","panggilan bagi perempuan Semai, terutama sekali di bahagian negeri selatan Perak","""Ma muh hek?"" kitanyak la Bah Seri. ""Muh eng Han Didek.""","""What is your name?"" Bah Seri asked. ""My name is Han Didek."" ","""Siapa nama kamu?"" Bah Seri bertanya. ""Nama saya Han Didek."""
gde1d47c7-ec14-4a16-bbb7-8e86d1c4bec5,han anuk,han anuk,h,,kata nama,,Miss; young lady,saudari; gadis jika tidak tahu namanya yang sebenar,Eng ngsip la muh han anuk ajeh.,I forgot the lady's name.,Saya lupa nama saudari itu.
g4170f608-bff7-4c2f-adf2-e2f853d557c4,hangat,hangat,h,,kata sifat,,angry; furious,geram; marah; panas hati; sakit hati,Amen nus hangat mai bikenal ku renis hek.,"If we are angry, others tell in our face.",Jika hati geram orang tahu di muka kita.
g84d728ac-0b11-4e05-8986-941fcada5cd9,hanoh,hanoh,h,,demonstratif,,this,ini,Hanoh hak bok?,This belongs to whom?,Ini siapa punya?
g1c985f83-de91-4b21-91ba-f42a03f1e8f8,haos,haos,h,,kata kerja,,to be thirsty,haus; dahaga,"Bah Kari kingut jeoi teu medei ha kihaos, ha bilir kijar.","Bah Kari drank a lot of water because he was thirsty, as a result of running too much.","Bah Kari meminum banyak air kerana dia haus, akibat terlampau berlari."
gc3f4c625-3fa0-4dca-8ef7-0156518525d6,hap,hap,h,,kata nama,,heat,bahang,,,
g37e65380-8b57-4271-afe8-cb335a210872,hapal,hapal,h,,kata kerja,,to memorise,hafal; dapat mengingat apa yang dipelajari,"Bah Medan ya darjah 2, tapi lekat pek telas kihapal lebeh ju siper 3.","Bah Medan is already in the second grade, but still has not memorised the multiplication table beyond 3.","Bah Medah sudah darjah 2, tapi masih tidak lepas menghafal lebih dari sifir 3."
g5e0fbb64-1b17-4ddf-8e40-a9f988ea81ab,hapet,hapet,h,,,,to press between two surfaces; to pinch; to clip,menyepit,Bah Ngah tengah kihapet isej pog ku bilah awat kaha-jop.,Bah Ngah is clipping the chicken meat between pieces of bamboo in order to roast it.,Bah Ngah sedang menyepit daging ayam diantara bilah buluh untuk dipanggang.
g5e0fbb64-1b17-4ddf-8e40-a9f988ea81ab,hapet,hapet,h,,,,clip,penyepit,,,
ga60304dc-0f46-4f76-bf37-62ddc45d583f,har,har,h,,kata ganti nama,,we two; both of us; 1st person dual (the speaker and the hearer) pronoun,kita berdua; kata ganti nama diri pertama duaan inklusif,"""Jok har haret nu Bota huper doh, eng ngha-bakek kawat eng,"" Bah Sani kiajak eng.","""Come let both of us go to Bota tomorrow, I want to meet my friend,"" Bah Sani invited me.","""Jom kita berdua pergi ke Bota esok, saya mahu berjumpa kawan saya,"" Bah Sani mengajak saya."
g0f302ea4-4a11-428a-9afa-aa6b1c32ab72,har-,har-,h,:Any,kk,awl,we; 1st person dual (the speaker and the hearer) agreement marker for verb ,kita berdua; imbuhan ganti nama diri pertama duaan inklusif untuk kata kerja  ,"""Harok harha-et nu kedei amen manik lebat begei adeh?"" apak kiurok nu amek eng.","""How are we going to get to the shop if it is raining heavily like this?"" father asked mother.","""Bagaimana kita berdua mahu ke kedai jika hujan lebat begini?"" bapa berkata kepada ibu saya."
g5fd4bd0c-f3a0-4a76-8e83-91caf58308db,harga,harga,h,,kata nama,,price,"harga; nilai sesuatu benda (barang, perkhidmatan dll.)","Amek eng pek pernah kibakli barang ku pasaraya medei iharga barang mahal, tapi kek selalo kibakli had ku pasar biasa taleh.","My mother never shops at the supermarket, because the prices are higher, but she always shops at the wet market only.","Ibu saya tidak pernah membeli barang di pasaraya kerana harga barangnya mahal, tapi dia selalu membeli hanya di pasar biasa sahaja."
gbab03b42-262e-412c-9ff5-6164d77e6d38,hari,hari,h,,kata nama,,day,hari,Jap-jap hari jik jikerakjak kecuali hari minggu.,We work everyday except for Sunday.,Kami bekerja setiap hari kecuali hari Ahad.
g36cebed8-a4ad-4f82-829d-d3dff4d4bd92,harok,harok / 1,h,,kata tanya,,how,bagaimana,Bah Sal birok ya iapak medei pek kipanei harok ha perder os ha reknag kak.,Bah Sal was scolded by his father because he did not know how to kindle the fire to grill fish.,Bah Sal dimarahi oleh bapanya kerana tidak tahu bagaimana mahu menghidupkan api bagi membakar ikan.
ge779ae24-5aee-4e09-98e2-d2bf2837a029,harok,harok / 2,h,,kata kerja,,to shoo; to scare away an animal,halau; menghalau binatang ke sesuatu tempat atau arah dengan cara mengepungnya ke arah tersebut,Bah Amin kiharok kucig de kaha-cak kak.,Bah Amin shooed away the cat that was trying to eat the fish.,Bah Amin menghalau kucing yang mahu memakan ikan.
g6d4ffc05-10a1-432e-98a5-d53dcce7ad79,has,has,h,,kata sifat,,special,khas; khusus,"Biasajeh ku kenurik caknak, tempat caknak has ha penganten bidek ku depan sekali.","Usually at the wedding feast, the table specially for the bride and groom is located at the very front.","Biasanya di kenduri perkahwinan, tempat makan yang dikhaskan bagi pengantin terletak di hadapan sekali."
gb45e8069-fdd9-441c-84ff-1c17f5429f19,hasel,hasel,h,,kata nama,,result; output; product,hasil; segala yang diperolehi; perolehan dari sesuatu perkara,Amen hikerjak kuat hikep ihasel.,"If we work hard, we will get results.","Kalau kita bekerja keras, kita akan mendapat hasilnya."
ge67c3aaa-f015-441a-ad8e-7e059179a24d,hasot,hasot,h,,kata kerja,,to incite; to provoke,hasut,"Bah Man kihasot eng punteng sekulah arik adeh. Jar jarcip nu taman, jarlepak ku pajeh lei dij waktu sekulah.",Bah Man incited me to skip school today. We both went to the park and hung out there until the end of school hours.,"Bah Man menghasut saya untuk ponteng sekolah pada hari ini. Kami berdua ke taman, melepak di sana sehingga tamat waktu persekolahan."
